Gene	Allele	Region	Loci	Source
TRDC	01	CONSTANT	TRD	Mus musculus_BALB/c
TRGC1	01	CONSTANT	TRG	Mus musculus_BALB/c
TRGC2	01	CONSTANT	TRG	Mus musculus_BALB/c
TRGC3	01	CONSTANT	TRG	Mus musculus_BALB/c
TRGC4	01_AB	CONSTANT	TRG	Mus musculus_BALB/c
TRAJ34	01	JOINING	TRA	Mus musculus_BALB/c
TRAJ35	02	JOINING	TRA	Mus musculus_BALB/c
TRAJ9	01	JOINING	TRA	Mus musculus_BALB/c
TRBJ1-4	02	JOINING	TRB	Mus musculus_BALB/c
TRBJ1-5	01	JOINING	TRB	Mus musculus_BALB/c
TRDJ1	01	JOINING	TRD	Mus musculus_BALB/c
TRDJ2	01	JOINING	TRD	Mus musculus_BALB/c
TRGJ1	01	JOINING	TRG	Mus musculus_BALB/c
TRGJ2	01	JOINING	TRG	Mus musculus_BALB/c
TRAV14-1	02	LEADER	TRA,TRD	Mus musculus_BALB/c
TRAV14-2	03	LEADER	TRA,TRD	Mus musculus_BALB/c
TRAV14-3	02	LEADER	TRA,TRD	Mus musculus_BALB/c
TRAV14D-1	02	LEADER	TRA,TRD	Mus musculus_BALB/c
TRAV14D-2	01	LEADER	TRA,TRD	Mus musculus_BALB/c
TRAV14D-3/DV8	03	LEADER	TRA,TRD	Mus musculus_BALB/c
TRAV15D-1/DV6D-1	01	LEADER	TRA,TRD	Mus musculus_BALB/c
TRAV20	01	LEADER	TRA,TRD	Mus musculus_BALB/c
TRAV21/DV12	01	LEADER	TRA,TRD	Mus musculus_BALB/c
TRAV9-2	01	LEADER	TRA,TRD	Mus musculus_BALB/c
TRAV9-3	01	LEADER	TRA,TRD	Mus musculus_BALB/c
TRAV9-4	01	LEADER	TRA,TRD	Mus musculus_BALB/c
TRAV9D-2	01	LEADER	TRA,TRD	Mus musculus_BALB/c
TRBV1	01	LEADER	TRB	Mus musculus_BALB/c
TRBV11	01	LEADER	TRB	Mus musculus_BALB/c
TRBV13-1	02	LEADER	TRB	Mus musculus_BALB/c
TRBV14	01	LEADER	TRB	Mus musculus_BALB/c
TRBV15	01	LEADER	TRB	Mus musculus_BALB/c
TRBV17	01	LEADER	TRB	Mus musculus_BALB/c
TRBV19	01	LEADER	TRB	Mus musculus_BALB/c
TRBV2	01	LEADER	TRB	Mus musculus_BALB/c
TRBV20	01	LEADER	TRB	Mus musculus_BALB/c
TRBV23	01	LEADER	TRB	Mus musculus_BALB/c
TRBV24	03	LEADER	TRB	Mus musculus_BALB/c
TRBV27	01	LEADER	TRB	Mus musculus_BALB/c
TRBV28	01	LEADER	TRB	Mus musculus_BALB/c
TRBV29	01	LEADER	TRB	Mus musculus_BALB/c
TRBV3	01	LEADER	TRB	Mus musculus_BALB/c
TRBV31	01	LEADER	TRB	Mus musculus_BALB/c
TRBV5	01	LEADER	TRB	Mus musculus_BALB/c
TRBV7	01	LEADER	TRB	Mus musculus_BALB/c
TRDV5	01	LEADER	TRD	Mus musculus_BALB/c
TRGV1	01	LEADER	TRG	Mus musculus_BALB/c
TRGV2	01	LEADER	TRG	Mus musculus_BALB/c
TRAV12D-2	04	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV14-1	02	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV14-2	03	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV14-3	02	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV14D-1	02	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV14D-2	01	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV14D-3/DV8	03	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV15-1/DV6-1	02	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV19	02	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV20	01	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV21/DV12	01	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV9-2	01	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV9-3	01	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV9-4	01	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRAV9D-2	01	VARIABLE	TRA,TRD	Mus musculus_BALB/c
TRBV1	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV10	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV11	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV12-2	02	VARIABLE	TRB	Mus musculus_BALB/c
TRBV13-1	02	VARIABLE	TRB	Mus musculus_BALB/c
TRBV14	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV15	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV17	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV18	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV19	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV2	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV20	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV21	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV22	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV23	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV24	03	VARIABLE	TRB	Mus musculus_BALB/c
TRBV25	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV27	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV28	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV29	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV3	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV30	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV31	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV5	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV6	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV7	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV8	01	VARIABLE	TRB	Mus musculus_BALB/c
TRBV9	01	VARIABLE	TRB	Mus musculus_BALB/c
TRDV5	01	VARIABLE	TRD	Mus musculus_BALB/c
TRGV1	01	VARIABLE	TRG	Mus musculus_BALB/c
TRGV2	01	VARIABLE	TRG	Mus musculus_BALB/c
TRGV6	03	VARIABLE	TRG	Mus musculus_BALB/c
