Gene	Allele	Region	Loci	Source
TRAJ4	02	JOINING	TRA	Mus musculus_C57BL/6J
TRAJ42	02	JOINING	TRA	Mus musculus_C57BL/6
TRBJ2-7	02	JOINING	TRB	Mus musculus_C57BL/6
TRAV10	04	LEADER	TRA,TRD	Mus musculus_C57BL/6
TRAV10D	02	LEADER	TRA,TRD	Mus musculus_C57BL/6
TRAV10N	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV11N	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV12-1	01	LEADER	TRA,TRD	Mus musculus_C57BL/6
TRAV12D-1	01	LEADER	TRA,TRD	Mus musculus_C57BL/6
TRAV12D-2	01	LEADER	TRA,TRD	Mus musculus_C57BL/6
TRAV12N-1	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV12N-2	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV12N-3	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV13-1	02	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV13-2	03	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV13-3	03	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV13D-1	04	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV13D-2	03	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV13D-3	02	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV13D-4	03	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV13N-1	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV13N-2	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV13N-3	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV13N-4	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV14-3	04	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV14D-2	03	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV14D-3/DV8	08	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV14N-1	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV14N-2	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV14N-3	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV15D-2/DV6D-2	03	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV15D-3	02	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV15N-1	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV15N-2	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV15N-3	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV16D/DV11	02	LEADER	TRA,TRD	Mus musculus_C57BL/6
TRAV16N	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV17	02	LEADER	TRA,TRD	Mus musculus_C57BL/6
TRAV3D-3	02	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV3N-2	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV3N-3	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV4-2	02	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV4D-3	03	LEADER	TRA,TRD	Mus musculus_C57BL/6
TRAV4D-4	03	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV4N-3	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV4N-4	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV5D-4	05	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV5N-4	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV6-3	02	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV6-4	03	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV6-5	04	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV6D-6	02	LEADER	TRA,TRD	Mus musculus_C57BL/6
TRAV6D-7	04	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV6N-5	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV6N-6	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV6N-7	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV7-2	02	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV7-3	04	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV7-4	02	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV7D-4	01	LEADER	TRA,TRD	Mus musculus_C57BL/6
TRAV7D-6	02	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV7N-4	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV7N-5	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV7N-6	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV8-1	03	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV8D-2	03	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV8N-2	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV9-1	02	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV9D-4	02	LEADER	TRA,TRD	Mus musculus_C57BL/6
TRAV9N-1	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV9N-2	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV9N-3	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRAV9N-4	01	LEADER	TRA,TRD	Mus musculus_C57BL/6J
TRBV12-1	01	LEADER	TRB	Mus musculus_C57BL/6
TRBV12-2	01	LEADER	TRB	Mus musculus_C57BL/6
TRBV12-3	01	LEADER	TRB	Mus musculus_C57BL/6
TRBV13-1	01	LEADER	TRB	Mus musculus_C57BL/6
TRBV13-2	01	LEADER	TRB	Mus musculus_C57BL/6
TRBV13-3	01	LEADER	TRB	Mus musculus_C57BL/6
TRBV16	01	LEADER	TRB	Mus musculus_C57BL/6
TRBV4	01	LEADER	TRB	Mus musculus_C57BL/6
TRGV6	01	LEADER	TRG	Mus musculus_C57BL/6
TRGV7	01	LEADER	TRG	Mus musculus_C57BL/6
TRAV10	02	VARIABLE	TRA,TRD	Mus musculus_C57BL/6
